word,frequency
people,58
little,45
guns,29
Egypt,26
get,23
many,23
gun,22
would,22
go,21
world,20
NRA,19
like,19
one,18
love,18
man,18
Bradley,18
life,17
sad,17
country,16
think,15
beach,15
boy,15
New,15
make,14
place,14
Zealand,14
going,13
way,13
Proms,13
years,11
BBC,11
even,11
lives,10
right,10
always,10
see,10
kids,9
terrorists,9
live,9
good,9
bad,9
children,9
need,9
last,9
year,9
also,9
watching,9
time,9
tourists,9
London,9
say,9
lovely,9
Caribbean,9
know,8
family,8
best,8
take,8
put,8
come,8
never,8
ca,8
home,8
something,8
example,8
risk,8
near,8
RIP,8
authorities,8
us,7
news,7
could,7
away,7
let,7
enough,7
peace,7
want,7
killed,7
loved,7
attack,7
Muslim,7
hope,7
tourist,7
visit,7
please,7
really,7
much,7
stupid,7
Albert,7
close,7
woman,7
airport,7
America,6
protect,6
around,6
keep,6
UK,6
everyone,6
believe,6
women,6
point,6
